Gembase Strain
ESCO.0722.00001 EDL933
ESCO.0722.00002 IAI01
ESCO.0722.00003 IAI39
ESCO.0722.00004 ATCC35469T
ESCO.0722.00005 E2348_69
ESCO.0722.00006 ED1a
ESCO.0722.00007 ROAR019
ESCO.0722.00008 ROAR012
ESCO.0722.00009 B253
ESCO.0722.00010 B1147
ESCO.0722.00011 IAI57
ESCO.0722.00012 ROAR438
ESCO.0722.00013 NILS26
ESCO.0722.00014 IAI55
ESCO.0722.00015 ECOR-66
ESCO.0722.00016 ECOR-67
ESCO.0722.00017 ROAR387
ESCO.0722.00018 ROAR274
ESCO.0722.00019 NILS63
ESCO.0722.00020 IAI51
ESCO.0722.00021 ECOR-59
ESCO.0722.00022 FN116
ESCO.0722.00023 S2-1
ESCO.0722.00024 ECOR-54
ESCO.0722.00025 ECOR-55
ESCO.0722.00026 H1-001-0121-Q-J
ESCO.0722.00027 NILS02
ESCO.0722.00028 NILS51
ESCO.0722.00029 B090
ESCO.0722.00030 IAI61
ESCO.0722.00031 IAI47
ESCO.0722.00032 IAI60
ESCO.0722.00033 ECOR-65
ESCO.0722.00034 IAI46
ESCO.0722.00035 MT1B1
ESCO.0722.00036 NILS69
ESCO.0722.00037 H442
ESCO.0722.00038 ECOR-01
ESCO.0722.00039 H95
ESCO.0722.00040 EC6230
ESCO.0722.00041 H1-003-0035-D-E
ESCO.0722.00042 ECOR-53
ESCO.0722.00043 AN17
ESCO.0722.00044 H1-003-0071-C-J
ESCO.0722.00045 FN-B9
ESCO.0722.00046 IAI64
ESCO.0722.00047 IAI10
ESCO.0722.00048 IAI32
ESCO.0722.00049 IAI50
ESCO.0722.00050 IAI56
ESCO.0722.00051 B992
ESCO.0722.00052 ECOR-26
ESCO.0722.00053 LF82
ESCO.0722.00054 ECOR-56
ESCO.0722.00055 ROAR029
ESCO.0722.00056 H1-005-0012-L-M
ESCO.0722.00057 E_fergusonii-IVAN
ESCO.0722.00058 NILS61
ESCO.0722.00059 NILS19
ESCO.0722.00060 NILS77
ESCO.0722.00061 IAI26
ESCO.0722.00062 IAI68
ESCO.0722.00063 IAI74
ESCO.0722.00064 ECOR-42
ESCO.0722.00065 ECOR-61
ESCO.0722.00066 ROAR082
ESCO.0722.00067 NILS45
ESCO.0722.00068 NILS54
ESCO.0722.00069 IAI12
ESCO.0722.00070 IAI53
ESCO.0722.00071 DEC2a
ESCO.0722.00072 IAI66
ESCO.0722.00073 TW10509
ESCO.0722.00074 ECOR-63
ESCO.0722.00075 ECOR-10
ESCO.0722.00076 IAI45
ESCO.0722.00077 ECOR-60
ESCO.0722.00078 B49
ESCO.0722.00079 H1-002-0069-V-G
