bacteria;55989_P2;LF82_P8;AL505_Ev3;LF73_P4;BCH953_P2;BCH953_P4;BCH953_P5;LF73_P1;LF73_P3;NIC06_P2;T4LD;AN17_P8;LF110_P1;LF110_P2;LF110_P3;LF110_P4;LF82_P1;LF82_P2;LF82_P3;LF82_P4;LF82_P5;LF82_P6;LF82_P9;NRG_11A2;NRG_11B1;LF31_P1;536_P6;536_P7;536_P9;536_P1;DIJ07_P1;DIJ07_P2;AN24_P2;AN24_P3;NAN33_P5;427_P2;T7_Portugal;LM07_P1;NAN33_P1;NAN33_P2;NAN33_P4;NAN33_P6;409_P1;423_P5;427_P3;427_P4;55989_P1;AN17_P1;AN24_P4;BDX03_P1;BDX03_P2;LI10_P1;LI10_P2;LM33_P1;MT1B1_3A1;409_P3;409_P5;409_P6;412_P2;416_P4;416_P5;423_P1;423_P10;423_P7;423_P9;AL505_Sd2;DIJ06_P1;LF31_P3;LI10_P3;LI10_P4;LI10_P5;LI10_P6;NIC06_P3;412_P1;412_P3;412_P4;412_P5;409_P8;536_P11;BCH953_P1;BCH953_P3;LF7074_P1;LF7074_P2;LF7074_P3;LM02_P1;LM08_P1;LM08_P2;NRG_12A1B;411_P1;536_P12;BDX09_P1;411_P2;LF50_P3;LM40_P1;LM40_P2;LM40_P3
ECOR-54;0.0;1.0;0.0;1.0;1.0;0.0;0.0;4.0;4.0;0.0;0.0;0.0;3.0;3.0;3.0;3.0;2.0;1.0;1.0;2.0;2.0;2.0;4.0;3.0;3.0;0.0;0.0;1.0;2.0;3.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DIJ06;0.0;1.0;0.0;2.0;0.0;0.0;0.0;4.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ECOR-52;0.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0;4.0;0.0;0.0;0.0;1.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;1.0;1.0;3.0;4.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ECOR-51;3.0;2.0;2.0;3.0;3.0;4.0;4.0;3.0;3.0;2.0;1.0;4.0;3.0;3.0;3.0;3.0;3.0;2.0;1.0;2.0;2.0;2.0;4.0;2.0;2.0;1.0;1.0;1.0;2.0;3.0;3.0;3.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;4.0;1.0;1.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;1.0;2.0;1.0;1.0;0.0;4.0;0.0;2.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
ECOR-55;2.0;3.0;1.0;4.0;0.0;2.0;1.0;3.0;4.0;1.0;0.0;4.0;3.0;4.0;4.0;3.0;3.0;4.0;2.0;4.0;4.0;4.0;4.0;1.0;1.0;2.0;0.0;2.0;2.0;3.0;2.0;3.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;3.0;2.0;1.0;1.0;0.0;4.0;1.0;2.0;0.0;2.0;2.0;0.0;0.0;3.0;3.0;1.0;0.0;3.0;3.0;0.0;1.0;0.0;1.0;2.0;2.0;0.0;4.0;3.0;4.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
IAI54;1.0;4.0;0.0;3.0;0.0;0.0;0.0;4.0;3.0;3.0;2.0;0.0;4.0;3.0;3.0;3.0;2.0;2.0;2.0;3.0;3.0;2.0;4.0;4.0;4.0;0.0;2.0;3.0;3.0;2.0;3.0;4.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ECOR-57;1.0;1.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;2.0;2.0;1.0;1.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IAI72;0.0;2.0;1.0;2.0;1.0;0.0;0.0;4.0;4.0;1.0;2.0;1.0;4.0;3.0;3.0;4.0;2.0;2.0;2.0;2.0;2.0;2.0;4.0;4.0;4.0;4.0;1.0;2.0;3.0;4.0;4.0;4.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;3.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;2.0;2.0;1.0;2.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0
NILS59;3.0;4.0;1.0;2.0;0.0;0.0;0.0;4.0;2.0;0.0;0.0;0.0;3.0;2.0;2.0;2.0;1.0;2.0;1.0;2.0;2.0;2.0;3.0;3.0;3.0;3.0;2.0;2.0;1.0;3.0;2.0;3.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;2.0;2.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LF31;3.0;0.0;2.0;0.0;2.0;0.0;0.0;3.0;2.0;0.0;0.0;0.0;4.0;2.0;2.0;4.0;2.0;2.0;3.0;2.0;2.0;1.0;3.0;3.0;3.0;4.0;0.0;1.0;1.0;3.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;2.0;3.0;2.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
