bacteria;gene
ESCO.0722.00035;ESCO.0722.00035.0008i_01441
ESCO.0722.00035;ESCO.0722.00035.0009i_01473
ESCO.0722.00035;ESCO.0722.00035.0015i_02337
ESCO.0722.00035;ESCO.0722.00035.0015i_02369
ESCO.0722.00035;ESCO.0722.00035.0028i_04481
ESCO.0722.00035;ESCO.0722.00035.0029i_04513
ESCO.0722.00035;ESCO.0722.00035.0070b_04769
ESCO.0722.00043;ESCO.0722.00043.0002b_00941
ESCO.0722.00053;ESCO.0722.00053.0027i_04148
ESCO.0722.00053;ESCO.0722.00053.0061b_04564
ESCO.0722.00085;ESCO.0722.00085.0012i_01836
ESCO.0722.00129;ESCO.0722.00129.0001i_00263
ESCO.0722.00129;ESCO.0722.00129.0011i_02535
ESCO.0722.00129;ESCO.0722.00129.0016i_03143
ESCO.0722.00129;ESCO.0722.00129.0016i_03175
ESCO.0722.00129;ESCO.0722.00129.0016i_03207
ESCO.0722.00129;ESCO.0722.00129.0020i_03623
ESCO.0722.00129;ESCO.0722.00129.0020i_03687
ESCO.0722.00129;ESCO.0722.00129.0190b_05031
ESCO.0722.00129;ESCO.0722.00129.0234b_05063
ESCO.0722.00140;ESCO.0722.00140.0010i_01457
ESCO.0722.00140;ESCO.0722.00140.0029b_03537
ESCO.0722.00140;ESCO.0722.00140.0047i_04465
ESCO.0722.00140;ESCO.0722.00140.0083b_04561
ESCO.0722.00140;ESCO.0722.00140.0121b_04593
ESCO.0722.00140;ESCO.0722.00140.0163b_04625
ESCO.0722.00149;ESCO.0722.00149.0031i_04094
ESCO.0722.00149;ESCO.0722.00149.0031i_04126
ESCO.0722.00149;ESCO.0722.00149.0031i_04158
ESCO.0722.00149;ESCO.0722.00149.0031i_04190
ESCO.0722.00149;ESCO.0722.00149.0035i_04414
ESCO.0722.00149;ESCO.0722.00149.0037i_04510
ESCO.0722.00149;ESCO.0722.00149.0037i_04542
ESCO.0722.00149;ESCO.0722.00149.0065i_04958
ESCO.0722.00151;ESCO.0722.00151.0015i_03041
ESCO.0722.00151;ESCO.0722.00151.0015i_03073
ESCO.0722.00151;ESCO.0722.00151.0030i_04257
ESCO.0722.00151;ESCO.0722.00151.0043i_04641
ESCO.0722.00151;ESCO.0722.00151.0058b_04769
ESCO.0722.00151;ESCO.0722.00151.0100b_04929
ESCO.0722.00151;ESCO.0722.00151.0145b_04993
ESCO.0722.00151;ESCO.0722.00151.0209b_05057
ESCO.0722.00151;ESCO.0722.00151.0241b_05089
ESCO.0722.00151;ESCO.0722.00151.0274b_05121
ESCO.0722.00166;ESCO.0722.00166.0005i_01413
ESCO.0722.00166;ESCO.0722.00166.0007i_01957
ESCO.0722.00166;ESCO.0722.00166.0039b_04293
ESCO.0722.00166;ESCO.0722.00166.0040b_04325
ESCO.0722.00169;ESCO.0722.00169.0001i_00112
ESCO.0722.00169;ESCO.0722.00169.0002i_00752
ESCO.0722.00169;ESCO.0722.00169.0011i_02512
ESCO.0722.00169;ESCO.0722.00169.0044i_04176
ESCO.0722.00169;ESCO.0722.00169.0053i_04304
ESCO.0722.00169;ESCO.0722.00169.0059i_04368
ESCO.0722.00169;ESCO.0722.00169.0067i_04400
ESCO.0722.00169;ESCO.0722.00169.0184b_04560
ESCO.0722.00170;ESCO.0722.00170.0001i_00144
