Assembly	Best match locus	Best match type	Match confidence	Problems	Coverage	Identity	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details
AN03	KL113	unknown (KL113)	None	?-*	49.78%	71.80%	n/a	4 / 20 (20%)	KL113_01_galF,87.838%;KL113_12,88.71%;KL113_17_gnd,95.096%;KL113_20_ugd,82.262%	KL113_02_cpsACP;KL113_03_wzi;KL113_04_wza;KL113_05_wzb;KL113_06_wzc;KL113_07_wzx;KL113_08;KL113_09;KL113_10;KL113_11_wcoS;KL113_13_wcaG;KL113_14;KL113_15_wcaI;KL113_16_wcaJ;KL113_18_manC;KL113_19_manB	0		0 / 20 (0%)		1	KL4_04_HG290,80.119%
AN12	KL54	K54	None	?-*	44.69%	72.56%	n/a	4 / 20 (20%)	KL54_01_galF,88.514%;KL54_12_gmd,89.247%;KL54_17_gnd,95.522%;KL54_20_ugd,82.776%	KL54_02_cpsACP;KL54_03_wzi;KL54_04_wza;KL54_05_wzb;KL54_06_wzc;KL54_07_wclU;KL54_08_wzx;KL54_09_wzy;KL54_10_wckB;KL54_11_wcoS;KL54_13_wcaG;KL54_14_wcaH;KL54_15_wcaI;KL54_16_wcaJ;KL54_18_manC;KL54_19_manB	0		0 / 20 (0%)		2	KL131_09_rmlB,80.226%;KL4_04_HG290,80.119%
AN13	KL156-D1	unknown (KL156-D1)	None	?-*	48.67%	82.28%	n/a	5 / 17 (29.4%)	KL156-D1_01_galF,98.658%;KL156-D1_02_rmlB,81.768%;KL156-D1_04_rmlA,85.121%;KL156-D1_16_gnd,98.507%;KL156-D1_17_ugd,98.606%	KL156-D1_03_rmlD;KL156-D1_05_rmlC;KL156-D1_06_wzx;KL156-D1_07;KL156-D1_08_wfgD;KL156-D1_09_wzy;KL156-D1_10;KL156-D1_11_arnC;KL156-D1_12;KL156-D1_13;KL156-D1_14;KL156-D1_15	0		0 / 17 (0%)		3	KL121_14_gmd,91.398%;KL131_09_rmlB,80.226%;KL4_04_HG290,80.119%
AN20	KL151	unknown (KL151)	High	-	99.54%	95.93%	-201 bp	19 / 21 (90.5%)	KL151_01_galF,98.662%;KL151_03_wzi,96.653%;KL151_04_wza,98.947%;KL151_05_wzb,96.552%;KL151_06_wzc,97.775%;KL151_07,97.419%;KL151_08_wcaJ,97.419%;KL151_09,95.082%;KL151_10_pglI,97.173%;KL151_11_wzy,95.431%;KL151_12,96.257%;KL151_13_wfgD,97.059%;KL151_14,96.577%;KL151_16_gnd,98.934%;KL151_17_rmlB,97.746%;KL151_18_rmlA,98.966%;KL151_19_rmlD,98.99%;KL151_20_rmlC,96.757%;KL151_21_ugd,98.972%	KL151_02_cpsACP;KL151_15	0		0 / 21 (0%)		3	KL31_18_manC,97.458%;KL30_19_manB,96.32%;KL36_09_rmlB,80.057%
AN22	KL166	unknown (KL166)	None	?-+*	48.91%	73.00%	n/a	5 / 22 (22.7%)	KL166_01_galF,89.189%;KL166_15_gnd,92.751%;KL166_16_manC,86.864%;KL166_17_manB,92.308%;KL166_22_ugd,91.26%	KL166_02_cpsACP;KL166_03_wzi;KL166_04_wza;KL166_05_wzb;KL166_06_wzc;KL166_07;KL166_08_wzx;KL166_09_wzy;KL166_10_wcuP;KL166_11_wcuF;KL166_12_wcmY;KL166_13_wcuC;KL166_14_wcaJ;KL166_18_rmlB;KL166_19_rmlA;KL166_20_rmlD;KL166_21_rmlC	5	KL156-D1_02_rmlB,95.856%;KL36_09_rmlB,80.057%;KL156-D1_03_rmlD,96.99%;KL156-D1_04_rmlA,97.611%;KL156-D1_05_rmlC,81.818%	0 / 22 (0%)		3	KL121_14_gmd,91.398%;KL68_18,82.282%;KL4_04_HG290,80.119%
AN28	KL156-D1	unknown (KL156-D1)	None	?-*	50.15%	90.58%	n/a	6 / 17 (35.3%)	KL156-D1_01_galF,99.664%;KL156-D1_03_rmlD,96.333%;KL156-D1_04_rmlA,97.611%;KL156-D1_05_rmlC,86.391%;KL156-D1_16_gnd,98.721%;KL156-D1_17_ugd,98.258%	KL156-D1_02_rmlB;KL156-D1_06_wzx;KL156-D1_07;KL156-D1_08_wfgD;KL156-D1_09_wzy;KL156-D1_10;KL156-D1_11_arnC;KL156-D1_12;KL156-D1_13;KL156-D1_14;KL156-D1_15	0		0 / 17 (0%)		3	KL121_14_gmd,91.398%;KL131_09_rmlB,80.226%;KL4_04_HG290,80.119%
AN31	KL54	K54	None	?-*	46.92%	72.79%	n/a	4 / 20 (20%)	KL54_01_galF,88.514%;KL54_12_gmd,89.247%;KL54_17_gnd,95.309%;KL54_20_ugd,91.003%	KL54_02_cpsACP;KL54_03_wzi;KL54_04_wza;KL54_05_wzb;KL54_06_wzc;KL54_07_wclU;KL54_08_wzx;KL54_09_wzy;KL54_10_wckB;KL54_11_wcoS;KL54_13_wcaG;KL54_14_wcaH;KL54_15_wcaI;KL54_16_wcaJ;KL54_18_manC;KL54_19_manB	0		0 / 20 (0%)		3	KL131_09_rmlB,80.508%;KL68_18,83.183%;KL4_04_HG290,80.119%
AN44	KL63	K63	Good	?-	95.51%	96.66%	n/a	19 / 20 (95%)	KL63_01_galF,98.997%;KL63_03_wzi,97.624%;KL63_04_wza,99.471%;KL63_05_wzb,98.639%;KL63_06_wzc,98.199%;KL63_07_wbaP,97.679%;KL63_08_wcsD,96.335%;KL63_09_wzx,97.304%;KL63_10_wzy,96.977%;KL63_11_wcsE,95.845%;KL63_12_gmd,100.0%;KL63_13_wcaG,97.516%;KL63_14,95.973%;KL63_15_wcaI,96.822%;KL63_16,95.948%;KL63_17_gnd,99.584%;KL63_18_manC,100.0%;KL63_19_manB,99.776%;KL63_20_ugd,100.0%	KL63_02_cpsACP	0		0 / 20 (0%)		3	KL150_19_gmd,84.685%;KL131_09_rmlB,80.508%;KL4_04_HG290,80.119%
AN45	KL156-D1	unknown (KL156-D1)	None	?-*	49.84%	92.04%	n/a	7 / 17 (41.2%)	KL156-D1_01_galF,99.329%;KL156-D1_02_rmlB,94.751%;KL156-D1_03_rmlD,95.0%;KL156-D1_04_rmlA,96.587%;KL156-D1_05_rmlC,80.0%;KL156-D1_16_gnd,98.934%;KL156-D1_17_ugd,98.606%	KL156-D1_06_wzx;KL156-D1_07;KL156-D1_08_wfgD;KL156-D1_09_wzy;KL156-D1_10;KL156-D1_11_arnC;KL156-D1_12;KL156-D1_13;KL156-D1_14;KL156-D1_15	0		0 / 17 (0%)		3	KL121_14_gmd,91.398%;KL131_09_rmlB,80.226%;KL4_04_HG290,80.119%
AN48	KL54	K54	None	?-*	44.67%	72.62%	n/a	4 / 20 (20%)	KL54_01_galF,88.514%;KL54_12_gmd,89.247%;KL54_17_gnd,95.522%;KL54_20_ugd,82.776%	KL54_02_cpsACP;KL54_03_wzi;KL54_04_wza;KL54_05_wzb;KL54_06_wzc;KL54_07_wclU;KL54_08_wzx;KL54_09_wzy;KL54_10_wckB;KL54_11_wcoS;KL54_13_wcaG;KL54_14_wcaH;KL54_15_wcaI;KL54_16_wcaJ;KL54_18_manC;KL54_19_manB	0		0 / 20 (0%)		2	KL131_09_rmlB,80.226%;KL4_04_HG290,80.119%
