bacteria;sys_id;type;subtype;hit_id;gene_name;cluster_80_80;cluster_99_99;cluster_999_999
001-023;ESCO.0423.00107.0005i_MazEF_2274;MazEF;MazEF;ESCO.0423.00107.0005i_01434;MazEF__MazE;ESCO.0423.00001.0001i_05294;ESCO.0423.00003.0001i_04717;ESCO.0423.00003.0001i_04717
001-023;ESCO.0423.00107.0005i_MazEF_2274;MazEF;MazEF;ESCO.0423.00107.0005i_01435;MazEF__MazF;ESCO.0423.00001.0001i_05295;ESCO.0423.00001.0001i_05295;ESCO.0423.00003.0001i_04718
001-023;ESCO.0423.00107.0005i_RM_Type_IV_3206;RM;RM_Type_IV;ESCO.0423.00107.0005i_01563;RM_Type_IV__Type_IV_REases;ESCO.0423.00003.0001i_04834;ESCO.0423.00107.0005i_01563;ESCO.0423.00107.0005i_01563
001-023;ESCO.0423.00107.0005i_RM_Type_I_3205;RM;RM_Type_I;ESCO.0423.00107.0005i_01566;RM__Type_I_MTases;ESCO.0423.00001.0001i_05396;ESCO.0423.00001.0001i_05396;ESCO.0423.00107.0005i_01566
001-023;ESCO.0423.00107.0005i_RM_Type_I_3205;RM;RM_Type_I;ESCO.0423.00107.0005i_01567;RM__Type_I_REases;ESCO.0423.00001.0001i_05397;ESCO.0423.00001.0001i_05397;ESCO.0423.00107.0005i_01567
001-023;ESCO.0423.00107.0005i_RM_Type_I_3205;RM;RM_Type_I;ESCO.0423.00107.0005i_01565;RM__Type_I_S;ESCO.0423.00107.0005i_01565;ESCO.0423.00107.0005i_01565;ESCO.0423.00107.0005i_01565
001-023;ESCO.0423.00107.0015i_PARIS_I_940;Rst_PARIS;PARIS_I;ESCO.0423.00107.0015i_03176;PARIS_I__AriA_AAA15;ESCO.0423.00107.0015i_03176;ESCO.0423.00107.0015i_03176;ESCO.0423.00107.0015i_03176
001-023;ESCO.0423.00107.0015i_PARIS_I_940;Rst_PARIS;PARIS_I;ESCO.0423.00107.0015i_03177;PARIS_I__AriB_DUF4435_I;ESCO.0423.00107.0015i_03177;ESCO.0423.00107.0015i_03177;ESCO.0423.00107.0015i_03177
001-023;ESCO.0423.00107.0017i_CAS_Class1-Subtype-I-E_3740;CasFinder;CAS_Class1-Subtype-I-E;ESCO.0423.00107.0017i_03343;cas1_I-E_1;ESCO.0423.00001.0001i_03702;ESCO.0423.00002.0001i_02752;ESCO.0423.00107.0017i_03343
001-023;ESCO.0423.00107.0017i_CAS_Class1-Subtype-I-E_3740;CasFinder;CAS_Class1-Subtype-I-E;ESCO.0423.00107.0017i_03344;cas2_I-E_2;ESCO.0423.00001.0001i_03701;ESCO.0423.00009.0019i_04199;ESCO.0423.00009.0019i_04199
001-023;ESCO.0423.00107.0017i_CAS_Class1-Subtype-I-E_3740;CasFinder;CAS_Class1-Subtype-I-E;ESCO.0423.00107.0017i_03337;cas3_I_5;ESCO.0423.00001.0001i_03708;ESCO.0423.00107.0017i_03337;ESCO.0423.00107.0017i_03337
001-023;ESCO.0423.00107.0017i_CAS_Class1-Subtype-I-E_3740;CasFinder;CAS_Class1-Subtype-I-E;ESCO.0423.00107.0017i_03341;cas5_I-E_3;ESCO.0423.00001.0001i_03704;ESCO.0423.00001.0001i_03704;ESCO.0423.00107.0017i_03341
001-023;ESCO.0423.00107.0017i_CAS_Class1-Subtype-I-E_3740;CasFinder;CAS_Class1-Subtype-I-E;ESCO.0423.00107.0017i_03342;cas6e_I_II_III_IV_V_VI_1;ESCO.0423.00001.0001i_03703;ESCO.0423.00107.0017i_03342;ESCO.0423.00107.0017i_03342
001-023;ESCO.0423.00107.0017i_CAS_Class1-Subtype-I-E_3740;CasFinder;CAS_Class1-Subtype-I-E;ESCO.0423.00107.0017i_03340;cas7_I-E_2;ESCO.0423.00066.0015i_03438;ESCO.0423.00001.0001i_03705;ESCO.0423.00107.0017i_03340
001-023;ESCO.0423.00107.0017i_CAS_Class1-Subtype-I-E_3740;CasFinder;CAS_Class1-Subtype-I-E;ESCO.0423.00107.0017i_03338;cas8e_I-E_1;ESCO.0423.00001.0001i_03707;ESCO.0423.00107.0017i_03338;ESCO.0423.00107.0017i_03338
001-023;ESCO.0423.00107.0017i_CAS_Class1-Subtype-I-E_3740;CasFinder;CAS_Class1-Subtype-I-E;ESCO.0423.00107.0017i_03339;cse2gr11_I-E_2;ESCO.0423.00016.0058i_01988;ESCO.0423.00107.0017i_03339;ESCO.0423.00107.0017i_03339
001-023;ESCO.0423.00107.0018i_Gao_Her_SIR_935;Gao_Her;Gao_Her_SIR;ESCO.0423.00107.0018i_03404;Gao_Her_SIR__HerA_SIR2;ESCO.0423.00068.0002i_00761;ESCO.0423.00068.0002i_00761;ESCO.0423.00107.0018i_03404
001-023;ESCO.0423.00107.0018i_Gao_Her_SIR_935;Gao_Her;Gao_Her_SIR;ESCO.0423.00107.0018i_03403;Gao_Her_SIR__SIR2;ESCO.0423.00068.0002i_00760;ESCO.0423.00068.0002i_00760;ESCO.0423.00107.0018i_03403
001-023;ESCO.0423.00107.0018i_RM_Type_IV_3361;RM;RM_Type_IV;ESCO.0423.00107.0018i_03426;RM_Type_IV__Type_IV_REases;ESCO.0423.00022.0035i_04486;ESCO.0423.00022.0035i_04486;ESCO.0423.00022.0035i_04486
001-023;ESCO.0423.00107.0034i_NLR_like_bNACHT01_672;NLR;NLR_like_bNACHT01;ESCO.0423.00107.0034i_04243;NLR_like_bNACHT01__NLR_like_bNACHT01;ESCO.0423.00107.0034i_04243;ESCO.0423.00107.0034i_04243;ESCO.0423.00107.0034i_04243
001-023;ESCO.0423.00107.0042i_RM_Type_II_3533;RM;RM_Type_II;ESCO.0423.00107.0042i_04319;RM_Type_II__Type_II_MTases;ESCO.0423.00026.0035i_04496;ESCO.0423.00026.0035i_04496;ESCO.0423.00026.0035i_04496
001-023;ESCO.0423.00107.0042i_RM_Type_II_3533;RM;RM_Type_II;ESCO.0423.00107.0042i_04318;RM_Type_II__Type_II_REases;ESCO.0423.00026.0035i_04495;ESCO.0423.00026.0035i_04495;ESCO.0423.00026.0035i_04495
001-031-c1;ESCO.0423.00334.0006i_RM_Type_IIG_2969;RM;RM_Type_IIG;ESCO.0423.00334.0006i_01412;RM_Type_IIG__Type_IIG;ESCO.0423.00310.0170i_02895;ESCO.0423.00233.0029i_01570;ESCO.0423.00233.0029i_01570
001-031-c1;ESCO.0423.00334.0017i_Menshen_1023;Menshen;Menshen;ESCO.0423.00334.0017i_02574;Menshen__NsnA;ESCO.0423.00002.0001i_04326;ESCO.0423.00002.0001i_04326;ESCO.0423.00002.0001i_04326
001-031-c1;ESCO.0423.00334.0017i_Menshen_1023;Menshen;Menshen;ESCO.0423.00334.0017i_02573;Menshen__NsnB;ESCO.0423.00002.0001i_04325;ESCO.0423.00002.0001i_04325;ESCO.0423.00002.0001i_04325
001-031-c1;ESCO.0423.00334.0017i_Menshen_1023;Menshen;Menshen;ESCO.0423.00334.0017i_02572;Menshen__NsnC_2726213746;ESCO.0423.00002.0001i_04324;ESCO.0423.00002.0001i_04324;ESCO.0423.00002.0001i_04324
001-031-c1;ESCO.0423.00334.0017i_PD-T4-5_952;PD-T4-5;PD-T4-5;ESCO.0423.00334.0017i_02571;PD-T4-5__PD-T4-5;ESCO.0423.00002.0001i_04323;ESCO.0423.00002.0001i_04323;ESCO.0423.00002.0001i_04323
