bacteria;replicon;gene;start;end;length
ESCO.0722.00035;ESCO.0722.00035.0008;ESCO.0722.00035.0008i_01441;34814;35452;638
ESCO.0722.00035;ESCO.0722.00035.0009;ESCO.0722.00035.0009i_01473;24276;24407;131
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02337;5126;5329;203
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02369;30836;31141;305
ESCO.0722.00035;ESCO.0722.00035.0028;ESCO.0722.00035.0028i_04481;7290;8369;1079
ESCO.0722.00035;ESCO.0722.00035.0029;ESCO.0722.00035.0029i_04513;15734;16057;323
ESCO.0722.00035;ESCO.0722.00035.0070;ESCO.0722.00035.0070b_04769;2;238;236
ESCO.0722.00035;ESCO.0722.00035.0008;ESCO.0722.00035.0008i_01444;36271;38418;2147
ESCO.0722.00035;ESCO.0722.00035.0009;ESCO.0722.00035.0009i_01476;26983;27282;299
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02340;7036;7638;602
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02372;33801;34238;437
ESCO.0722.00035;ESCO.0722.00035.0028;ESCO.0722.00035.0028i_04484;9669;10475;806
ESCO.0722.00035;ESCO.0722.00035.0074;ESCO.0722.00035.0074b_04772;3;89;86
ESCO.0722.00035;ESCO.0722.00035.0008;ESCO.0722.00035.0008i_01427;20556;21908;1352
ESCO.0722.00035;ESCO.0722.00035.0009;ESCO.0722.00035.0009i_01459;3168;4163;995
ESCO.0722.00035;ESCO.0722.00035.0009;ESCO.0722.00035.0009i_01491;37142;38011;869
ESCO.0722.00035;ESCO.0722.00035.0009;ESCO.0722.00035.0009i_01619;170203;170835;632
ESCO.0722.00035;ESCO.0722.00035.0014;ESCO.0722.00035.0014i_02323;70664;70987;323
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02355;17516;19027;1511
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02387;50509;51036;527
ESCO.0722.00035;ESCO.0722.00035.0018;ESCO.0722.00035.0018i_03027;117489;117767;278
ESCO.0722.00035;ESCO.0722.00035.0055;ESCO.0722.00035.0055b_04755;3;425;422
ESCO.0722.00035;ESCO.0722.00035.0088;ESCO.0722.00035.0088b_04787;75;215;140
ESCO.0722.00035;ESCO.0722.00035.0008;ESCO.0722.00035.0008i_01428;21923;23572;1649
ESCO.0722.00035;ESCO.0722.00035.0009;ESCO.0722.00035.0009i_01460;4181;5623;1442
ESCO.0722.00035;ESCO.0722.00035.0009;ESCO.0722.00035.0009i_01492;38156;38491;335
ESCO.0722.00035;ESCO.0722.00035.0014;ESCO.0722.00035.0014i_02324;71630;72025;395
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02356;19039;19482;443
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02388;51052;58605;7553
ESCO.0722.00035;ESCO.0722.00035.0018;ESCO.0722.00035.0018i_03028;117802;118068;266
ESCO.0722.00035;ESCO.0722.00035.0090;ESCO.0722.00035.0090b_04788;1;108;107
ESCO.0722.00035;ESCO.0722.00035.0161;ESCO.0722.00035.0161b_04820;1;66;65
ESCO.0722.00035;ESCO.0722.00035.0008;ESCO.0722.00035.0008i_01429;23550;24170;620
ESCO.0722.00035;ESCO.0722.00035.0009;ESCO.0722.00035.0009i_01461;5624;5962;338
ESCO.0722.00035;ESCO.0722.00035.0009;ESCO.0722.00035.0009i_01493;38668;40356;1688
ESCO.0722.00035;ESCO.0722.00035.0011;ESCO.0722.00035.0011i_02165;340104;340289;185
ESCO.0722.00035;ESCO.0722.00035.0014;ESCO.0722.00035.0014i_02325;72222;73589;1367
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02389;58621;59961;1340
ESCO.0722.00035;ESCO.0722.00035.0018;ESCO.0722.00035.0018i_03029;118023;118775;752
ESCO.0722.00035;ESCO.0722.00035.0021;ESCO.0722.00035.0021b_03733;198161;198559;398
ESCO.0722.00035;ESCO.0722.00035.0057;ESCO.0722.00035.0057b_04757;3;404;401
ESCO.0722.00035;ESCO.0722.00035.0090;ESCO.0722.00035.0090b_04789;109;213;104
ESCO.0722.00035;ESCO.0722.00035.0008;ESCO.0722.00035.0008i_01448;40612;40851;239
ESCO.0722.00035;ESCO.0722.00035.0009;ESCO.0722.00035.0009i_01480;28759;28989;230
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02344;9751;10269;518
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02376;35873;36502;629
ESCO.0722.00035;ESCO.0722.00035.0028;ESCO.0722.00035.0028i_04488;14477;14896;419
ESCO.0722.00035;ESCO.0722.00035.0029;ESCO.0722.00035.0029i_04520;19224;19475;251
ESCO.0722.00035;ESCO.0722.00035.0077;ESCO.0722.00035.0077b_04776;3;122;119
ESCO.0722.00035;ESCO.0722.00035.0008;ESCO.0722.00035.0008i_01417;12244;12444;200
ESCO.0722.00035;ESCO.0722.00035.0008;ESCO.0722.00035.0008i_01449;40893;41261;368
ESCO.0722.00035;ESCO.0722.00035.0009;ESCO.0722.00035.0009i_01481;29020;29112;92
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02345;10266;10550;284
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02377;36625;37008;383
ESCO.0722.00035;ESCO.0722.00035.0017;ESCO.0722.00035.0017i_02889;254471;254758;287
ESCO.0722.00035;ESCO.0722.00035.0035;ESCO.0722.00035.0035i_04713;6810;7235;425
ESCO.0722.00035;ESCO.0722.00035.0077;ESCO.0722.00035.0077b_04777;129;224;95
ESCO.0722.00035;ESCO.0722.00035.0008;ESCO.0722.00035.0008i_01450;41274;41690;416
ESCO.0722.00035;ESCO.0722.00035.0009;ESCO.0722.00035.0009i_01482;31178;32086;908
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02346;10547;11335;788
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02378;37139;38086;947
ESCO.0722.00035;ESCO.0722.00035.0017;ESCO.0722.00035.0017i_02890;254763;255164;401
ESCO.0722.00035;ESCO.0722.00035.0028;ESCO.0722.00035.0028b_04490;15286;16155;869
ESCO.0722.00035;ESCO.0722.00035.0029;ESCO.0722.00035.0029i_04522;20047;20574;527
ESCO.0722.00035;ESCO.0722.00035.0035;ESCO.0722.00035.0035i_04714;7229;7351;122
ESCO.0722.00035;ESCO.0722.00035.0078;ESCO.0722.00035.0078b_04778;3;221;218
ESCO.0722.00035;ESCO.0722.00035.0008;ESCO.0722.00035.0008i_01436;31085;31552;467
ESCO.0722.00035;ESCO.0722.00035.0009;ESCO.0722.00035.0009i_01468;22291;22824;533
ESCO.0722.00035;ESCO.0722.00035.0014;ESCO.0722.00035.0014b_02332;77801;79024;1223
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02364;27566;27937;371
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02396;68835;70352;1517
ESCO.0722.00035;ESCO.0722.00035.0028;ESCO.0722.00035.0028i_04476;2646;2822;176
ESCO.0722.00035;ESCO.0722.00035.0103;ESCO.0722.00035.0103b_04796;1;144;143
ESCO.0722.00035;ESCO.0722.00035.0008;ESCO.0722.00035.0008i_01437;31573;32508;935
ESCO.0722.00035;ESCO.0722.00035.0009;ESCO.0722.00035.0009i_01469;22855;23124;269
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015b_02333;361;1107;746
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02365;27944;29482;1538
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02397;70345;72000;1655
ESCO.0722.00035;ESCO.0722.00035.0028;ESCO.0722.00035.0028i_04477;2825;3445;620
ESCO.0722.00035;ESCO.0722.00035.0064;ESCO.0722.00035.0064b_04765;3;290;287
ESCO.0722.00035;ESCO.0722.00035.0003;ESCO.0722.00035.0003i_00866;888774;889040;266
ESCO.0722.00035;ESCO.0722.00035.0008;ESCO.0722.00035.0008i_01442;35442;35996;554
ESCO.0722.00035;ESCO.0722.00035.0009;ESCO.0722.00035.0009i_01474;24410;24907;497
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02338;5345;5881;536
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02370;32113;33015;902
ESCO.0722.00035;ESCO.0722.00035.0020;ESCO.0722.00035.0020i_03490;155437;155964;527
ESCO.0722.00035;ESCO.0722.00035.0028;ESCO.0722.00035.0028i_04482;8366;8545;179
ESCO.0722.00035;ESCO.0722.00035.0029;ESCO.0722.00035.0029i_04514;16101;16346;245
ESCO.0722.00035;ESCO.0722.00035.0071;ESCO.0722.00035.0071b_04770;3;86;83
ESCO.0722.00035;ESCO.0722.00035.0005;ESCO.0722.00035.0005i_00953;13758;14297;539
ESCO.0722.00035;ESCO.0722.00035.0006;ESCO.0722.00035.0006i_00985;9413;10375;962
ESCO.0722.00035;ESCO.0722.00035.0006;ESCO.0722.00035.0006i_01017;36652;39372;2720
ESCO.0722.00035;ESCO.0722.00035.0008;ESCO.0722.00035.0008i_01433;26810;27523;713
ESCO.0722.00035;ESCO.0722.00035.0009;ESCO.0722.00035.0009i_01465;10007;11752;1745
ESCO.0722.00035;ESCO.0722.00035.0014;ESCO.0722.00035.0014i_02265;8661;9833;1172
ESCO.0722.00035;ESCO.0722.00035.0014;ESCO.0722.00035.0014i_02329;76591;76839;248
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02361;24748;25143;395
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02393;64382;64879;497
ESCO.0722.00035;ESCO.0722.00035.0028;ESCO.0722.00035.0028i_04473;576;1805;1229
ESCO.0722.00035;ESCO.0722.00035.0029;ESCO.0722.00035.0029b_04537;28459;28806;347
ESCO.0722.00035;ESCO.0722.00035.0061;ESCO.0722.00035.0061b_04761;3;296;293
ESCO.0722.00035;ESCO.0722.00035.0094;ESCO.0722.00035.0094b_04793;2;178;176
ESCO.0722.00035;ESCO.0722.00035.0005;ESCO.0722.00035.0005i_00954;14290;15111;821
ESCO.0722.00035;ESCO.0722.00035.0006;ESCO.0722.00035.0006i_00986;10413;11957;1544
ESCO.0722.00035;ESCO.0722.00035.0006;ESCO.0722.00035.0006i_01018;39523;40221;698
ESCO.0722.00035;ESCO.0722.00035.0008;ESCO.0722.00035.0008i_01434;27582;28109;527
ESCO.0722.00035;ESCO.0722.00035.0009;ESCO.0722.00035.0009i_01466;11838;21653;9815
ESCO.0722.00035;ESCO.0722.00035.0014;ESCO.0722.00035.0014i_02266;9963;10127;164
ESCO.0722.00035;ESCO.0722.00035.0014;ESCO.0722.00035.0014i_02330;76913;77188;275
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02362;25140;26114;974
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02394;64886;65278;392
ESCO.0722.00035;ESCO.0722.00035.0028;ESCO.0722.00035.0028i_04474;1882;2148;266
ESCO.0722.00035;ESCO.0722.00035.0095;ESCO.0722.00035.0095b_04794;148;210;62
ESCO.0722.00035;ESCO.0722.00035.0008;ESCO.0722.00035.0008i_01435;28190;30244;2054
ESCO.0722.00035;ESCO.0722.00035.0009;ESCO.0722.00035.0009i_01467;21650;22093;443
ESCO.0722.00035;ESCO.0722.00035.0014;ESCO.0722.00035.0014i_02331;77269;77697;428
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02363;26128;27576;1448
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02395;65458;68709;3251
ESCO.0722.00035;ESCO.0722.00035.0028;ESCO.0722.00035.0028i_04475;2153;2386;233
ESCO.0722.00035;ESCO.0722.00035.0096;ESCO.0722.00035.0096b_04795;1;204;203
ESCO.0722.00035;ESCO.0722.00035.0008;ESCO.0722.00035.0008i_01443;35996;36193;197
ESCO.0722.00035;ESCO.0722.00035.0009;ESCO.0722.00035.0009i_01475;25075;25998;923
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02339;5930;6850;920
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02371;33048;33371;323
ESCO.0722.00035;ESCO.0722.00035.0020;ESCO.0722.00035.0020i_03491;156162;156296;134
ESCO.0722.00035;ESCO.0722.00035.0028;ESCO.0722.00035.0028i_04483;8884;9570;686
ESCO.0722.00035;ESCO.0722.00035.0029;ESCO.0722.00035.0029i_04515;16336;16551;215
ESCO.0722.00035;ESCO.0722.00035.0008;ESCO.0722.00035.0008i_01421;14625;14882;257
ESCO.0722.00035;ESCO.0722.00035.0008;ESCO.0722.00035.0008i_01453;43226;44722;1496
ESCO.0722.00035;ESCO.0722.00035.0009;ESCO.0722.00035.0009i_01485;33504;33941;437
ESCO.0722.00035;ESCO.0722.00035.0009;ESCO.0722.00035.0009i_01613;163445;164101;656
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02349;14512;14856;344
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02381;40089;42269;2180
ESCO.0722.00035;ESCO.0722.00035.0029;ESCO.0722.00035.0029i_04493;951;1202;251
ESCO.0722.00035;ESCO.0722.00035.0029;ESCO.0722.00035.0029i_04525;22533;22622;89
ESCO.0722.00035;ESCO.0722.00035.0036;ESCO.0722.00035.0036b_04717;160;780;620
ESCO.0722.00035;ESCO.0722.00035.0082;ESCO.0722.00035.0082b_04781;1;180;179
ESCO.0722.00035;ESCO.0722.00035.0146;ESCO.0722.00035.0146b_04813;1;75;74
ESCO.0722.00035;ESCO.0722.00035.0008;ESCO.0722.00035.0008i_01422;15948;16784;836
ESCO.0722.00035;ESCO.0722.00035.0008;ESCO.0722.00035.0008i_01454;44719;45204;485
ESCO.0722.00035;ESCO.0722.00035.0009;ESCO.0722.00035.0009i_01486;34035;34391;356
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02350;14856;15098;242
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02382;42735;42941;206
ESCO.0722.00035;ESCO.0722.00035.0029;ESCO.0722.00035.0029i_04526;23553;23804;251
ESCO.0722.00035;ESCO.0722.00035.0050;ESCO.0722.00035.0050b_04750;3;269;266
ESCO.0722.00035;ESCO.0722.00035.0083;ESCO.0722.00035.0083b_04782;3;161;158
ESCO.0722.00035;ESCO.0722.00035.0149;ESCO.0722.00035.0149b_04814;1;75;74
ESCO.0722.00035;ESCO.0722.00035.0008;ESCO.0722.00035.0008i_01423;16884;17123;239
ESCO.0722.00035;ESCO.0722.00035.0008;ESCO.0722.00035.0008i_01455;45201;45635;434
ESCO.0722.00035;ESCO.0722.00035.0009;ESCO.0722.00035.0009i_01487;34502;35014;512
ESCO.0722.00035;ESCO.0722.00035.0011;ESCO.0722.00035.0011i_01967;116067;117959;1892
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02351;15142;15540;398
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02383;43237;43683;446
ESCO.0722.00035;ESCO.0722.00035.0020;ESCO.0722.00035.0020i_03439;90108;91010;902
ESCO.0722.00035;ESCO.0722.00035.0029;ESCO.0722.00035.0029i_04495;1705;2217;512
ESCO.0722.00035;ESCO.0722.00035.0029;ESCO.0722.00035.0029i_04527;23794;24075;281
ESCO.0722.00035;ESCO.0722.00035.0036;ESCO.0722.00035.0036i_04719;4924;5247;323
ESCO.0722.00035;ESCO.0722.00035.0084;ESCO.0722.00035.0084b_04783;1;102;101
ESCO.0722.00035;ESCO.0722.00035.0008;ESCO.0722.00035.0008i_01419;13339;13518;179
