bacteria	gembase	LPS_type
EDL933	ESCO.0622.00001	R3
IAI01	ESCO.0622.00002	R1
IAI39	ESCO.0622.00003	R1
ATCC35469T	ESCO.0622.00004	R2
E2348_69	ESCO.0622.00005	R2
ED1a	ESCO.0622.00006	R3
ROAR019	ESCO.0622.00007	K12
ROAR012	ESCO.0622.00008	R4
B253	ESCO.0622.00009	R2
B1147	ESCO.0622.00010	R2
IAI57	ESCO.0622.00011	R1
ROAR438	ESCO.0622.00012	R2
NILS26	ESCO.0622.00013	R1
IAI55	ESCO.0622.00014	R1
ECOR-66	ESCO.0622.00015	R1
ECOR-67	ESCO.0622.00016	R1
ROAR387	ESCO.0622.00017	R1
ROAR274	ESCO.0622.00018	R1
NILS63	ESCO.0622.00019	R1
IAI51	ESCO.0622.00020	R1
ECOR-59	ESCO.0622.00021	R1
FN116	ESCO.0622.00022	R4
S2-1	ESCO.0622.00023	R3
ECOR-54	ESCO.0622.00024	R1
ECOR-55	ESCO.0622.00025	R1
H1-001-0121-Q-J	ESCO.0622.00026	R1
NILS02	ESCO.0622.00027	R3
NILS51	ESCO.0622.00028	R4
B090	ESCO.0622.00029	K12
IAI61	ESCO.0622.00030	R1
IAI47	ESCO.0622.00031	R1
IAI60	ESCO.0622.00032	R1
ECOR-65	ESCO.0622.00033	R1
IAI46	ESCO.0622.00034	R1
NILS69	ESCO.0622.00035	R2
H442	ESCO.0622.00036	R3
ECOR-01	ESCO.0622.00037	No_waaL
H95	ESCO.0622.00038	R1
EC6230	ESCO.0622.00039	R3
H1-003-0035-D-E	ESCO.0622.00040	R3
ECOR-53	ESCO.0622.00041	R1
H1-003-0071-C-J	ESCO.0622.00042	R1
FN-B9	ESCO.0622.00043	R4
IAI64	ESCO.0622.00044	R1
IAI10	ESCO.0622.00045	No_waaL
IAI32	ESCO.0622.00046	R1
IAI50	ESCO.0622.00047	R3
IAI56	ESCO.0622.00048	R1
B992	ESCO.0622.00049	R2
ECOR-26	ESCO.0622.00050	R3
ECOR-56	ESCO.0622.00051	R1
ROAR029	ESCO.0622.00052	R2
H1-005-0012-L-M	ESCO.0622.00053	R1
E_fergusonii-IVAN	ESCO.0622.00054	R2
NILS61	ESCO.0622.00055	R1
NILS19	ESCO.0622.00056	K12
NILS77	ESCO.0622.00057	K12
IAI26	ESCO.0622.00058	No_waaL
IAI68	ESCO.0622.00059	R1
IAI74	ESCO.0622.00060	R1
ECOR-42	ESCO.0622.00061	R1
ECOR-61	ESCO.0622.00062	R1
ROAR082	ESCO.0622.00063	R1
NILS45	ESCO.0622.00064	R4
NILS54	ESCO.0622.00065	R1
IAI12	ESCO.0622.00066	K12
IAI53	ESCO.0622.00067	R1
DEC2a	ESCO.0622.00068	R2
IAI66	ESCO.0622.00069	R1
TW10509	ESCO.0622.00070	R3
ECOR-63	ESCO.0622.00071	R1
ECOR-10	ESCO.0622.00072	No_waaL
IAI45	ESCO.0622.00073	R1
